"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Q0010",0,NA,NA,NA,NA,NA
"Q0017",0,NA,NA,NA,NA,NA
"Q0032",0,NA,NA,NA,NA,NA
"Q0045",0.158025982281367,-0.0590314586030945,3.06553397678889,-0.0192565011675157,0.984636484527351,NA
"Q0050",0.444808348158349,0.122543385034598,1.93898583743916,0.0631997318744952,0.949607458287635,0.971624982071915
"Q0055",0.075052154838651,0.67188305051896,3.5338115409304,0.190129847824897,0.849207381479551,NA
"Q0060",0,NA,NA,NA,NA,NA
"Q0065",0,NA,NA,NA,NA,NA
"Q0070",0,NA,NA,NA,NA,NA
"Q0075",0,NA,NA,NA,NA,NA
"Q0080",0,NA,NA,NA,NA,NA
"Q0085",0.0756580162345047,0.67188305051896,3.5338115409304,0.190129847824897,0.849207381479551,NA
"Q0092",0,NA,NA,NA,NA,NA
"Q0105",0.075052154838651,0.67188305051896,3.5338115409304,0.190129847824897,0.849207381479551,NA
"Q0110",0,NA,NA,NA,NA,NA
"Q0115",0,NA,NA,NA,NA,NA
"Q0120",0.0756580162345048,0.67188305051896,3.5338115409304,0.190129847824897,0.849207381479551,NA
"Q0130",0.151103023450622,-0.0462496568264935,3.11314756179225,-0.0148562366249891,0.988146874179712,NA
"Q0140",0,NA,NA,NA,NA,NA
"Q0142",0,NA,NA,NA,NA,NA
"Q0143",0,NA,NA,NA,NA,NA
"Q0144",0,NA,NA,NA,NA,NA
"Q0160",0,NA,NA,NA,NA,NA
"Q0182",0,NA,NA,NA,NA,NA
"Q0250",0.1583933832232,-0.0546209127731676,3.06252964515901,-0.0178352274432699,0.985770301788717,NA
"Q0255",0,NA,NA,NA,NA,NA
"Q0275",0.0756580162345048,0.67188305051896,3.5338115409304,0.190129847824897,0.849207381479551,NA
"Q0297",0,NA,NA,NA,NA,NA
"YAL001C",70.9754001722516,-0.454598243769604,0.183296995386901,-2.48011836096955,0.0131338777093031,0.0383875981868766
"YAL002W",62.9734668477158,-0.158148107437011,0.18025355187703,-0.877364722027227,0.380288568233868,0.532960392013858
"YAL003W",1052.80288029718,1.27220579551286,0.0442573892833843,28.7456132436282,1.02765383198573e-181,7.73431848311165e-180
"YAL004W",0,NA,NA,NA,NA,NA
"YAL005C",1809.21955440889,1.81465866336911,0.0356371771030327,50.9203817721769,0,0
"YAL007C",124.278297321525,-0.139345954264764,0.132048191467757,-1.05526590493888,0.29130372987977,0.443337067958572
"YAL008W",60.312288265627,-0.103334012513948,0.18434180147358,-0.560556594803364,0.57509984825111,0.710320161805337
"YAL009W",41.6196327449056,-0.610592991719702,0.24100492143223,-2.53352914160884,0.01129203505643,0.0339136558796914
"YAL010C",43.1737166993399,-0.373021089305758,0.216705517205025,-1.72132714532064,0.0851914763247364,0.17646805810124
"YAL011W",50.9250454597252,-0.65533006334986,0.20285498456806,-3.2305346834107,0.00123558912377351,0.00494079344749915
"YAL012W",795.05618571046,0.604756343445729,0.0514026623688265,11.7650782192264,5.90715730087688e-32,1.08561187372511e-30
